req_id,article_id,title
CUST-047,15242390523284,Equivalent Pay Types Screen
CUST-048,15242630129940,Establish Report Builder Security Codes
CUST-049,15242630130708,Establish Report Builder Security Groups
CUST-050,15242611858580,eSTORIS Product Search Filter
CUST-051,15242630131092,Extended Receivables Insurance Code Settings
CUST-052,15242630130324,Finance Application Queue Tier Settings
CUST-053,15242406416020,Finance Level/MMP Table
CUST-054,15242630366228,Finance Provider Settings
CUST-055,15242390520468,Finance Provider Settings by Finance Type
CUST-056,15242610007444,Financing Eligibility Restrictions
CUST-057,15242630369428,Financing Merchant Settings
CUST-058,15242406417428,Financing Payment Estimator Settings
CUST-059,15242612075924,Financing Payment Plan Settings
CUST-060,15242630375316,Fiscal Calendar Settings
CUST-061,15242612074644,Form Settings
CUST-062,15242390520980,General Ledger Accounts
CUST-063,15242612074516,General Ledger Assigned Account Settings
CUST-064,15242630365716,General Ledger Cost Center Settings
CUST-065,15242406635028,General Ledger Insurance
CUST-066,15242612075668,General Ledger User Permissions
CUST-067,15242630880916,Gift Certificate Payment Settings
CUST-068,15242612079636,Gift Registry Type Settings
CUST-069,15242390750740,GL Account Entry Screen
CUST-070,15242630384532,GL Account Settings
CUST-071,15242630655124,GL Class Settings
CUST-072,15242612331156,GL Group Settings
CUST-073,15242630657300,GL Source Settings
CUST-074,15242594989076,GL Sub-Account Entry Screen
CUST-075,15242612330388,GL Sub-Account Settings
CUST-076,15242612335380,GL Sub-Class Settings
CUST-077,15242630657044,Hold Code Settings
CUST-078,15242630129172,Installment Eligibility Restrictions
CUST-079,15242612331412,Installment Payment Plan Settings
CUST-080,15242610252052,Insurance Code Jurisdiction Settings
CUST-081,15242610251284,Interest Rate Table
CUST-082,15242630660372,Invoice Charge Settings
CUST-083,15242630883476,Invoice Charge Type Settings
CUST-084,15242610251796,List Zip Codes to Apply Tax Code Screen
CUST-085,15242630881556,Mandatory Order Comment Settings
CUST-086,15242662912020,Marketing Code Settings
CUST-087,16917259015188,Membership Reward Settings
CUST-088,15242630656404,Merchandise of Interest Settings
CUST-089,15242630882324,Method of Contact Settings
CUST-090,15242594991892,Metro 2 Code Settings
CUST-091,15242390955284,Minimum Deposit Percentage Table
CUST-092,15242406895636,Minimum Finance Charge Table
