req_id,article_id,title
CUST-093,15242662922260,Miscellaneous Payment Settings
CUST-094,15242406901140,Miscellaneous Payment Type Entry Window
CUST-095,15242406632084,Move Customer Purchase History for Completed Order
CUST-096,15242595452052,Multiple Line Discounts Overview
CUST-097,15242406901908,Non-Filing Fee Table
CUST-098,15242595235092,O/S Form Screen
CUST-099,15242390968084,Open To Buy Budget by Category
CUST-100,15242662921876,Open To Buy Department Settings
CUST-101,15242662911764,Order Source Settings
CUST-102,15242390971412,Payment Commission Adjustments Screen
CUST-103,15242595231636,Payment Type Override Settings
CUST-104,15242631136532,Percentage Break Level Table
CUST-105,15242610698004,Price Matrix Usage Codes
CUST-106,15242631136276,Printer Settings
CUST-107,15242631137172,Printer Zone Settings
CUST-108,15297959793684,Problem Code Settings
CUST-109,15242631134228,Receivables Activity Type Settings
CUST-110,15242663219220,Reconciliation Deposit Type Settings
CUST-111,15242663219092,Reconciliation Transaction Type Settings
CUST-112,15242663218068,Referred By Settings
CUST-113,18106520558996,Revolving Classification Settings
CUST-114,15242663218836,Revolving Payment Plan Settings
CUST-115,17304693314324,Revolving/Installment Fees
CUST-116,15242631136660,Sales Coupon Settings
CUST-117,15242631135764,Sales Discount Settings
CUST-118,15297965121940,Sales Lead Origin Settings
CUST-119,15297959789972,Sales Tax Settings
CUST-120,15297965129748,Salesperson Settings
CUST-121,15242407154196,Select Bank Check Run File Format
CUST-122,15242610699540,Select Insurance Window
CUST-123,15242407154324,Settlement Type
CUST-124,15297965125140,Solicitation of Customer Information
CUST-125,15242595454868,Special Character Settings
CUST-126,15297965136020,Special Comment Settings
CUST-127,15297959796628,Special Occasion Settings
CUST-128,15297959789076,Spiff Table Settings
CUST-129,15242407154068,Staff GL Limited Access Detail Screen
CUST-130,15242391204500,Statement Notification Days
CUST-131,16917916176788,Status Code Settings
CUST-132,15297965130132,Terms Settings
CUST-133,15242391204884,TPA Account Description Index
CUST-134,15242610698132,TPA GL Account Entry
CUST-135,15242611859732,Track Processing Activity
CUST-136,15297960049684,Trade Designer Discount Settings
CUST-137,15242629258644,Warehouse - O/S Form List
