req_id,article_id,title
PRD-001,15294524452244,Advanced Product Settings
PRD-002,15294470774036,Ashley Interface Settings
PRD-003,15294468994324,Assign Options
PRD-004,15294470781460,BAI Code Settings
PRD-005,15294470263060,Base/Grade Configuration
PRD-006,15294470776852,Brand Settings
PRD-007,15294470775956,Category Settings
PRD-008,15294470773140,Collection Settings
PRD-009,15294468994196,Component Priced Kits
PRD-010,15294469951124,Configurator Clone Process
PRD-011,15294523580180,Configurator Sub-Option Rules
PRD-012,15294468995092,Configurator Yardage Screen
PRD-013,15294524452756,Default Product Settings
PRD-014,15294522623380,Discount Costing Table
PRD-015,15294470776724,District and Regional Product Settings
PRD-016,15294470273812,Fabric Configuration
PRD-017,15294523901716,Fabric Group Configuration
PRD-018,15294524453140,Factory/Extended Warranty Code
PRD-019,15294522637972,Freight Distribution
PRD-020,15294470266644,Grade Description Configuration
PRD-021,15294468990612,Gross Margin Calculator
PRD-022,15294470776468,Group Settings
PRD-023,15294522840852,Image Replication Service
PRD-024,15294555045652,Image Wizard Settings
PRD-025,15294524800404,Inventory Formation Settings
PRD-026,15294522840212,Inventory Formations Overview
PRD-027,15294524798740,Kit Promotion Settings
PRD-028,15294524801684,Lay-Z-Boy Settings
PRD-029,15294522843284,Line Item Text
PRD-030,15294523891732,List Configuration
PRD-031,15294523065620,Maintain Code
PRD-032,15294469386260,Markdown Pricing
PRD-033,15294523895444,Option Configuration
PRD-034,15294523891988,Option Grade Price Configuration
PRD-035,15294470269844,Option Price Configuration
PRD-036,15294523898516,Option Type Configuration
PRD-037,15294524821268,Prep Code Settings
PRD-038,15294469389972,Price Adjustment Clone Process
PRD-039,15294555043092,Price Adjustment Settings
PRD-040,15294469392020,Price Adjustments - Actions
PRD-041,15294469387156,Price/Spiff/Commission Table
PRD-042,15294555044628,Product Attribute Title Settings
PRD-043,15294524815252,Product Attribute Value Settings
PRD-044,15294555057556,Product Benefit Settings
