req_id,article_id,title
PRD-045,15294523057812,Product Benefits Entry
PRD-046,15294522623508,Product Clone Process
PRD-047,15294470271892,Product Configuration
PRD-048,15294469952020,Product Configurator Rules Screen
PRD-049,15294555044244,Product Family Settings
PRD-050,15294525112980,Product Kit Settings
PRD-051,15294525107348,Product Settings
PRD-052,15294523269396,Product Substitution Codes
PRD-053,15294523058068,Product Type Codes
PRD-054,15294555336084,Protection Plan Product Selection
PRD-055,15294525107092,Protection Plan Selection
PRD-056,15294555339412,Protection Plan Settings
PRD-057,15294525105812,Purchase Status Settings
PRD-058,48289352920852,Retail Delivery Fee Overview
PRD-059,15294523057300,Schedule Purchase Status
PRD-060,15294470605716,Set Configuration Rules
PRD-061,15294470606356,Set Configuration Sub-Option Rules
PRD-062,15294525107604,Set Predefined Items
PRD-063,15294525106452,Special Order Option List Settings
PRD-064,15294525105684,Special Order Option Price Settings
PRD-065,15294555346196,Special Order Option Settings
PRD-066,15294555632916,Special Order Option Type Settings
PRD-067,15294525424020,Special Order Template Settings
PRD-068,15294469613972,Spiff Table Entry Screen
PRD-069,15294469609876,Substitute Product List Example
PRD-070,15294469614100,Substitute Product List Settings
PRD-071,15294469612564,Substitute Product Selection
PRD-072,15294470605332,Suite Configuration
PRD-073,15294555641748,Tariff Settings
PRD-074,15294555637268,Tax Class Settings
PRD-075,15294523252500,Text Field - Language Translation Entry
PRD-076,15294525418516,Update Product Images
PRD-077,15294469614996,Update Product Images - Left Pane
PRD-078,15294523253908,Update Product Images - Right Pane
PRD-079,15294522840340,Update Product Images - Top Pane
PRD-080,15294525418132,Vendor Inventory Quantities API Queue
PRD-081,15294469615124,Vendor Ship From Freight and Cost
PRD-082,15294523458964,View Web Service Results
PRD-083,15294469806228,Volume Rebate Table
PRD-084,15294555642772,Warranty Category Settings
PRD-085,15294555636756,Warranty Component Settings
PRD-086,15294469806996,Warranty Overview
PRD-087,15294523460244,Warranty Replacement Screen
PRD-088,15294525418772,Warranty Settings
