req_id,article_id,title
SEC-001,15185859625876,Create a User Actions - Transfer Security
SEC-002,15185859622804,Create a User/Group Actions - Import Data Security
SEC-003,15185875554452,Create a User/Group Actions - Logistics Security
SEC-004,15185875557140,Create a User/Group Actions - Payables Security
SEC-005,15185859628180,Create a User/Group Actions - Personal Information Security
SEC-006,15185859411732,Create a User/Group Actions - Purchasing Security
SEC-007,15185875555988,Create a User/Group Actions - Receivables Security
SEC-008,15185859408660,Create a User/Group Actions - Sales Security
SEC-009,15185875555220,Create a User/Group Actions - Service Security
SEC-010,15185875776532,Create a User/Group Actions - System Security
