req_id,article_id,title
USR-001,15185875552660,Attachment Description Entry Screen
USR-002,15185859409172,Bank to Print Checks by Currency Settings
USR-003,15185876528404,Company Settings
USR-004,15185859408788,Convert Comment Files
USR-005,15185876533396,Country Settings
USR-006,15185876530068,Create a User
USR-007,15186132800788,Create a User Group
USR-008,15185859627028,Customer Purge
USR-009,15185875773844,Customer Service Maintenance - User File
USR-010,15185875797140,Description Field - Language Translation Entry
USR-011,15185859629972,Edit File Attachments
USR-012,15185876531220,Foreign Processing Overview
USR-013,15185860429204,Import Provider Type Settings
USR-014,15185860708884,Individual Zip Codes
USR-015,15185875774356,Installment Credit Approval Limits
USR-016,15185859801876,Installment Credit Approval Rules
USR-017,15185860428820,Insurance Underwriter Settings
USR-018,15185860430356,Miscellaneous Fee Settings
USR-019,15185875940884,PC Applications Window
USR-020,15185860706580,Protection Plans Overview
