SKU,DESCRIPTION,BRAND,CATG,GROUP,VENDOR,REPLACE_COST
7703-6/6,E KING MICAH FIRM,EASTMAN,MATT,KING,BIA,468.00
7703-6/7,CAKING MICAH FIRM,EASTMAN,MATT,CAKING,BIA,468.00
7704-3/3,TWIN MICAH PLUSH,EASTMAN,MATT,TWIN,BIA,220.00
7704-4/6,FULL MICAH PLUSH,EASTMAN,MATT,FULL,BIA,303.00
7704-5/0,QUEEN MICAH PLUSH,EASTMAN,MATT,QUEEN,BIA,358.00
7704-6/6,E KING MICAH PLUSH,EASTMAN,MATT,KING,BIA,468.00
7705-3/3,TWIN MICAH E/T,EASTMAN,MATT,TWIN,BIA,248.00
7705-36X84,SPLIT CK MICAH E/T,EASTMAN,MATT,SPLCAK,BIA,263.00
7705-3X,TWINXL MICAH E/T,EASTMAN,MATT,TWINXL,BIA,263.00
7705-4/6,FULL MICAH E/T,EASTMAN,MATT,FULL,BIA,330.00
7705-4XL,FULLXL MICAH E/T,EASTMAN,MATT,FULLXL,BIA,385.00
7705-5/0,QUEEN MICAH E/T,EASTMAN,MATT,QUEEN,BIA,385.00
7705-6/6,E KING MICAH E/T,EASTMAN,MATT,KING,BIA,495.00
7705-6/7,CAKING MICAH E/T,EASTMAN,MATT,CAKING,BIA,495.00
7705-66x80,OLYMPIC QUEEN MICAH E/T,EASTMAN,MATT,QUEEN,BIA,595.00
7706-3/3,TWIN ROYAL SANDS FIRM,EASTMAN,MATT,TWIN,BIA,455.00
7706-3X,TWINXL ROYAL SANDS FIRM,EASTMAN,MATT,TWINXL,BIA,470.00
7706-4/6,FULL ROYAL SANDS FIRM,EASTMAN,MATT,FULL,BIA,515.00
7706-4XL,FULLXL ROYAL SANDS FIRM,EASTMAN,MATT,FULLXL,BIA,535.00
7706-5/0,QUEEN ROYAL SANDS FIRM,EASTMAN,MATT,QUEEN,BIA,535.00
7706-6/6,E KING ROYAL SANDS FIRM,EASTMAN,MATT,KING,BIA,665.00
7706-6/7,CAKING ROYAL SANDS FIRM,EASTMAN,MATT,CAKING,BIA,665.00
7707-3/3,TWIN ROYAL SANDS PLUSH,EASTMAN,MATT,TWIN,BIA,455.00
7707-36X84,SPLIT CK ROYAL SANDS PS,EASTMAN,MATT,SPLCAK,BIA,470.00
7707-4/6,FULL ROYAL SANDS PLUSH,EASTMAN,MATT,FULL,BIA,515.00
7707-5/0,QUEEN ROYAL SANDS PLUSH,EASTMAN,MATT,QUEEN,BIA,535.00
7707-6/6,E KING ROYAL SANDS PLUSH,EASTMAN,MATT,KING,BIA,665.00
7707-6/7,CAKING ROYAL SANDS PLUSH,EASTMAN,MATT,CAKING,BIA,665.00
7708-3/3,TWIN ROYAL SANDS P/T,EASTMAN,MATT,TWIN,BIA,480.00
7708-3X,TWINXL ROYAL SANDS P/T,EASTMAN,MATT,TWINXL,BIA,495.00
7708-4/6,FULL ROYAL SANDS P/T,EASTMAN,MATT,FULL,BIA,550.00
7708-5/0,QUEEN ROYAL SANDS P/T,EASTMAN,MATT,QUEEN,BIA,570.00
7708-6/6,E KING ROYAL SANDS P/T,EASTMAN,MATT,KING,BIA,700.00
7708-6/7,CAKING ROYAL SANDS P/T,EASTMAN,MATT,CAKING,BIA,700.00
7915-3/3,TWIN AVALON EXTRA FIRM,EASTMAN,MATT,TWIN,BIA,265.00
7915-3X,TWINXL AVALON EXTRA FIRM,EASTMAN,MATT,TWINXL,BIA,285.00
7915-4/6,FULL AVALON EXTRA FIRM,EASTMAN,MATT,FULL,BIA,355.00
7915-5/0,QUEEN AVALON EXTRA FIRM,EASTMAN,MATT,QUEEN,BIA,410.00
7915-6/6,E KING AVALON EXTRA FIRM,EASTMAN,MATT,KING,BIA,530.00
7915-6/7,CAKING AVALON EXTRA FIRM,EASTMAN,MATT,CAKING,BIA,530.00
7917-3/3,TWIN AVALON PLUSH,EASTMAN,MATT,TWIN,BIA,265.00
7917-3X,TWINXL AVALON PLUSH,EASTMAN,MATT,TWINXL,BIA,285.00
7917-4/6,FULL AVALON PLUSH,EASTMAN,MATT,FULL,BIA,355.00
7917-5/0,QUEEN AVALON PLUSH,EASTMAN,MATT,QUEEN,BIA,410.00
7917-6/6,E KING AVALON PLUSH,EASTMAN,MATT,KING,BIA,530.00
7917-6/7,CAKING AVALON PLUSH,EASTMAN,MATT,CAKING,BIA,530.00
7919-3/3,TWIN AVALON ULTRA P/T,EASTMAN,MATT,TWIN,BIA,295.00
7919-36X84,SPLIT CK AVALON ULTRA P/T,EASTMAN,MATT,SPLCAK,BIA,315.00
